iata,icao,name,country,latitude,longitude,altitude,continent
MSZ,FNMO,Namibe Welwitschia Mirabilis Airport,Angola,-15.261233,12.147095,225,Africa
NAM,WAPR,Namlea Airport,Indonesia,-3.236448,127.10006,78,Asia
APL,FQNP,Nampula Airport,Mozambique,-15.1056,39.281799,1444,Africa
NRE,WAPG,Namrole Airport,Indonesia,-3.8548,126.701202,31,Asia
OSY,ENNM,Namsos Airport,Norway,64.472092,11.577442,6,Europe
NNT,VTCN,Nan Airport,Thailand,18.799999,100.783333,702,Asia
YCD,CYCD,Nanaimo Airport,Canada,49.054443,-123.870003,92,America
ZNA,CAC8,Nanaimo Harbour Seaplane Base,Canada,49.169918,-123.934952,-1,America
KHN,ZSCN,Nanchang Changbei International Airport,China,28.865,115.900002,143,Asia
NAO,ZUNC,Nanchong Gaoping Airport,China,30.793888,106.159721,5906,Asia
ENC,LFSN,Nancy Essey Airport,France,48.692081,6.22605,751,Europe
NDC,VAND,Nanded Airport,India,19.18194,77.318611,1250,Asia
NKG,ZSNJ,Nanjing Lukou International Airport,China,31.742041,118.862,49,Asia
SHM,RJBD,Nanki Shirahama Airport,Japan,33.66222,135.364395,298,Asia
NNG,ZGNN,Nanning Wuxu International Airport,China,22.608259,108.172401,421,Asia
NTE,LFRS,Nantes Atlantique Airport,France,47.15694,-1.60777,90,Europe
NTG,ZSNT,Nantong Xingdong Airport,China,32.072922,120.975601,7546,Asia
ACK,KACK,Nantucket Memorial Airport,United States,41.253052,-70.060097,47,America
NNY,ZHNY,Nanyang Jiangying Airport,China,32.98,112.610001,131,Asia
NYK,HKNY,Nanyuki Airport,Kenya,-0.067,37.033001,6250,Africa
APC,KAPC,Napa County Airport,United States,38.212223,-122.279999,33,America
WNA,PANA,Napakiak Airport,United States,60.6903,-161.979004,17,America
PKA,PAPK,Napaskiak Airport,United States,60.7029,-161.778,24,America
NPE,NZNR,Napier Hawke's Bay Airport,New Zealand,-39.468254,176.867371,3,Pacific
NAP,LIRN,Naples Airport,Italy,40.886028,14.29078,294,Europe
APF,KAPF,Naples Municipal Airport,United States,26.152201,-81.775703,8,America
NAU,NTGN,Napuka Airport,French Polynesia,-14.1767,-141.266998,7,Pacific
NAC,YNRC,Naracoorte Airport,Australia,-36.985298,140.725006,169,Australia
NAW,VTSC,Narathiwat Airport,Thailand,6.519922,101.743401,16,Asia
NAA,YNBR,Narrabri Airport,Australia,-30.318291,149.829117,788,Australia
NRA,YNAR,Narrandera Airport,Australia,-34.702221,146.512222,474,Australia
UAK,BGBW,Narsarsuaq Airport,Greenland,61.160709,-45.425598,112,America
NNM,ULAM,Naryan-Mar Airport,Russia,67.639999,53.121941,36,Europe
QQS,KTTS,NASA Shuttle Landing Facility,United States,28.615,-80.694504,10,America
ISK,VAOZ,Nashik Ozar Airport,India,20.119444,73.913612,1900,Asia
ASH,KASH,Nashua Airport,United States,42.778889,-71.509445,200,America
BNA,KBNA,Nashville International Airport,United States,36.12447,-86.678101,599,America
QQN,KJWN,Nashville John C. Tune Airport,United States,36.18222,-86.886665,495,America
NAS,MYNN,Nassau Lynden Pindling International Airport,Bahamas,25.04105,-77.463669,16,America
NAT,SBSG,Natal International Airport,Brazil,-5.768056,-35.37611,169,America
YNA,CYNA,Natashquan Airport,Canada,50.189999,-61.789101,39,America
HEZ,KHEZ,Natchez Adams County Airport,United States,31.614721,-91.296387,272,America
YNP,CNH2,Natuashish Airport,Canada,55.913891,-61.184444,33,America
YUT,CYUT,Naujaat Airport,Canada,66.521378,-86.224701,75,America
INU,ANYN,Nauru International Airport,Nauru,-0.54745,166.919098,22,Pacific
SUV,NFNA,Nausori International Airport,Fiji,-18.0432,178.559204,17,Pacific
NVT,SBNF,Navegantes Victor Konder International Airport,Brazil,-26.87904,-48.650291,19,America
NVI,UTSA,Navoi International Airport,Uzbekistan,40.117771,65.175003,98,Asia
